,VERTROUWELIJK - alleen gebruiken binnen doelstelling en afspraken,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
10,LV-19,False,,False,2020-10-22 09:06:27.400000,,2018-12-12 13:54:43.618000,2019-02-15 09:45:53.898000,2019-02-15 09:46:11.922000,2019-02-18 09:04:14.724000,2019-04-18 07:28:20.330000,2019-04-18 09:47:06.056000,2019-04-18 07:28:31.828000,2019-04-18 09:47:27.404000,2019-06-28 11:37:11.946000,2019-07-03 05:36:31.841000,2019-07-18 08:51:26.531000,2019-08-14 09:07:53.354000,2019-07-18 10:11:39.624000,65,Gemeente Utrechtse Heuvelrug,263,Utrechtse Heuvelrug,UTRECHTSEHEUVELRUG00010,5.3523749457891,52.0287081104425,Morel,9,3941 SG,Doorn,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2018-11-22 00:00:00,2019-01-03 00:00:00,False,2019-04-18 00:00:00,2019-07-15 00:00:00,2019-07-18 00:00:00,PP002002,,2019-07-18 00:00:00
11,LV-20,False,,False,2020-10-22 09:06:27.400000,,2018-12-12 14:02:38.651000,2018-12-12 14:07:23.320000,2018-12-31 07:57:49.206000,2019-01-02 08:13:21.685000,2019-02-07 10:17:56.822000,2019-02-26 07:30:22.884000,2019-03-05 12:03:58.553000,2019-03-05 12:11:51.079000,2019-05-24 12:48:53.976000,2019-09-29 11:55:32.454000,2019-06-28 13:49:14.764000,2019-10-17 14:39:11.102000,2019-09-29 11:55:38.718000,53,Gemeente Purmerend,360,Purmerend,PURMEREND00007,4.96238895845672,52.5211048008717,Leeuwerikplein,2,1444 HW,Purmerend,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-24 00:00:00,2019-03-11 00:00:00,False,2019-02-25 00:00:00,2019-06-28 00:00:00,2019-06-28 00:00:00,PP002086,,2019-06-28 00:00:00
12,LV-26,False,,False,2020-10-22 09:06:27.400000,,2018-12-13 13:06:31.144000,2018-12-13 15:02:39.477000,2018-12-31 08:40:08.228000,2019-01-02 08:15:42.667000,2019-01-09 16:47:33.895000,2019-02-18 13:20:53.717000,2019-02-28 07:55:47.659000,2019-03-04 13:21:33.841000,2019-05-22 06:42:17.732000,2019-06-11 14:21:16.788000,2019-06-07 15:36:39.684000,2019-08-14 09:09:50.840000,2019-07-10 08:13:12.702000,2,Gemeente Alkmaar,311,Alkmaar,ALKMAAR00046,4.76416774,52.67439842,Marco Polostraat,39,1827 PR,Alkmaar,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-11 00:00:00,2019-02-25 00:00:00,True,2019-01-17 00:00:00,2019-06-07 00:00:00,2019-06-07 00:00:00,PP001956,,2019-06-07 00:00:00
13,LV-27,False,,False,2021-04-21 08:04:17.184000,,2018-12-13 13:31:23.262000,2019-04-03 14:05:51.876000,2019-04-03 14:05:54.779000,2019-04-04 11:37:33.288000,2019-04-23 12:04:02.622000,2019-04-24 05:34:34.641000,2019-06-07 14:38:55.732000,2019-06-19 06:30:00.654000,2019-06-24 10:01:05.343000,2019-07-11 07:26:01.298000,2019-09-18 07:45:09.025000,2019-10-17 14:13:01.719000,2019-11-13 12:34:10.844000,3,Gemeente Almere,165,Almere,ALMERE00014,5.152536630436,52.3449045368956,Hongarijehof,29,1363 CC,Almere,False,<nil>,langs spoorlijn Hongarijeplaats ter hoogte van Hongarijehof nr 29,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-04-16 00:00:00,2019-06-03 00:00:00,False,2019-04-23 00:00:00,2019-07-11 00:00:00,2019-09-17 00:00:00,PP002060,,2019-09-17 00:00:00
14,LV-29,False,,False,2020-10-22 09:06:27.400000,,2018-12-14 10:05:12.308000,2018-12-14 10:07:55.855000,2018-12-31 08:41:33.302000,2019-01-02 08:16:38.421000,2019-01-10 19:06:23.172000,2019-02-18 13:22:51.124000,2019-02-28 07:57:21.096000,2019-03-04 13:22:08.772000,2019-04-10 06:10:09.514000,2019-04-19 07:23:16.392000,2019-04-24 08:50:32.283000,2019-04-24 08:50:56.198000,2019-04-24 08:51:06.188000,2,Gemeente Alkmaar,311,Alkmaar,ALKMAAR00045,4.74945087,52.61960689,Camhuysenstraat,108,1813 BV,Alkmaar,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-11 00:00:00,2019-02-26 00:00:00,True,2019-01-17 00:00:00,2019-04-16 00:00:00,2019-04-17 00:00:00,PP001857,,2019-04-17 00:00:00
15,LV-30,False,,False,2021-07-21 07:18:22.902000,,2018-12-14 14:38:06.973000,2019-01-21 07:50:57.026000,2019-01-23 12:55:09.968000,2019-01-23 13:00:07.252000,2019-02-21 13:00:34.463000,2019-03-05 15:30:57.354000,2019-02-21 13:02:04.159000,2019-03-05 15:31:11.267000,2019-10-09 07:17:48.122000,2019-10-09 07:17:53.793000,2019-10-09 07:18:09.967000,2019-10-09 07:19:40.865000,2019-10-09 07:20:39.040000,35,Gemeente Houten,278,Houten,HOUTEN00020,5.18116031560814,52.0153884434347,Via Horta,1,3995 ZN,Houten,False,<nil>,P&R Houten Castellum,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2018-12-06 00:00:00,2019-02-14 00:00:00,False,2019-02-07 00:00:00,2019-10-04 00:00:00,2019-10-04 00:00:00,1800176,,2019-10-04 00:00:00
16,LV-31,False,,False,2020-10-22 09:06:27.400000,,2018-12-14 14:53:21.349000,2018-12-14 16:16:03.057000,2018-12-31 10:42:49.670000,2019-01-02 08:26:10.618000,2019-01-17 08:57:46.920000,2019-02-18 13:38:22.903000,2019-03-04 11:58:41.738000,2019-03-04 13:22:56.326000,2019-06-28 11:35:32.758000,2019-09-26 10:08:52.835000,2019-07-18 11:11:27.636000,2019-10-17 14:42:42.724000,2019-10-01 14:04:44.862000,79,Gemeente Zeist,298,Zeist,ZEIST00028,5.24030851341446,52.1422500638892,Willem Coxlaan,25,3734 BV,Den Dolder,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-17 00:00:00,2019-02-28 00:00:00,False,2019-01-24 00:00:00,2019-07-18 00:00:00,2019-07-18 00:00:00,PP001808,,2019-07-18 00:00:00
17,LV-32,False,,False,2020-10-22 09:06:27.400000,,2018-12-14 22:04:03.832000,2019-01-15 16:14:10.943000,2019-02-05 09:09:06.452000,2019-02-07 12:10:30.885000,2019-03-12 16:40:47.091000,2019-03-14 07:24:48.585000,2019-04-23 12:14:20.353000,2019-04-23 12:55:36.246000,2019-06-07 07:08:50.074000,2019-07-11 07:26:33.535000,2019-06-21 10:18:10.607000,2019-08-14 09:14:59.867000,2019-07-11 10:05:55.094000,3,Gemeente Almere,165,Almere,ALMERE00121,5.15331459889929,52.3464532682133,Europalaan,770,1363 BM,Almere,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-02-28 00:00:00,2019-04-15 00:00:00,False,2019-03-13 00:00:00,2019-06-20 00:00:00,2019-06-21 00:00:00,PP001997,,2019-06-21 00:00:00
18,LV-34,False,,False,2020-10-22 09:06:27.400000,,2018-12-14 23:45:20.457000,2019-02-14 10:12:48.631000,2019-02-28 10:16:35.804000,2019-02-28 12:14:22.645000,2019-04-30 08:17:28.118000,2019-04-30 12:28:44.447000,2019-07-11 07:28:52.985000,2019-07-11 09:29:48.948000,2019-07-31 14:16:46.107000,2019-10-03 13:23:08.277000,2019-09-20 07:59:48.147000,2019-10-21 06:49:12.045000,2019-11-13 12:33:26.827000,3,Gemeente Almere,165,Almere,"ALMERE00130, ALMERE00138",5.26569780359235,52.3721027274726,Juan Grisstraat,44,1328 KP,Almere,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-04-29 00:00:00,2019-06-17 00:00:00,False,2019-04-30 00:00:00,2019-09-19 00:00:00,2019-09-19 00:00:00,PP002003,,2019-09-19 00:00:00
19,LV-39,False,,False,2020-10-22 09:06:27.400000,,2018-12-17 13:07:55.767000,2019-01-17 12:29:18.788000,2019-01-22 11:50:25.472000,2019-01-23 13:17:00.236000,2019-02-22 07:43:33.998000,2019-03-05 09:12:52.781000,2019-03-27 10:41:41.443000,2019-03-27 12:10:22.528000,2019-04-30 10:11:25.115000,2019-05-06 08:25:40.584000,2019-05-29 11:37:11.951000,2019-08-14 09:16:30.089000,2019-06-26 07:24:51.929000,76,Gemeente Zaanstad,379,Zaanstad,ZAANSTAD00071,4.81041113,52.46135484,Julianastraat,1,1541 GE,Koog aan de Zaan,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-02-13 00:00:00,2019-03-27 00:00:00,False,2019-02-28 00:00:00,2019-05-29 00:00:00,2019-05-29 00:00:00,PP001662,,2019-05-29 00:00:00
20,LV-40,False,,False,2020-10-22 09:06:27.400000,,2018-12-17 13:22:04.715000,2018-12-17 13:31:29.117000,2018-12-31 08:43:00.537000,2019-01-02 08:19:24.253000,2019-01-10 14:19:08.706000,2019-02-18 13:25:04.741000,2019-02-28 07:54:44.681000,2019-03-04 13:23:24.464000,2019-05-22 06:52:46.018000,2019-06-05 08:22:59.678000,2019-06-05 06:42:40.724000,2019-08-14 09:18:19.128000,2019-07-02 12:43:19.448000,2,Gemeente Alkmaar,311,Alkmaar,ALKMAAR00044,4.7427937,52.63224426,Bagijnenstraat,11,1811 KA,Alkmaar,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-11 00:00:00,2019-02-25 00:00:00,True,2019-02-07 00:00:00,2019-06-03 00:00:00,2019-06-04 00:00:00,PP001988,,2019-06-05 00:00:00
21,LV-41,False,,False,2020-10-22 09:06:27.400000,,2018-12-17 13:52:48.651000,2018-12-17 13:57:54.314000,2018-12-31 08:44:34.385000,2019-01-02 08:24:02.771000,2019-01-10 14:20:10.180000,2019-02-25 08:34:21.823000,2019-02-28 07:56:17.934000,2019-03-04 13:24:20.469000,2019-05-22 06:52:02.467000,2019-06-05 08:14:45.441000,2019-06-05 06:43:09.562000,2019-08-14 09:20:02.646000,2019-07-03 10:49:31.158000,2,Gemeente Alkmaar,311,Alkmaar,ALKMAAR00047,4.75048571,52.62670451,Overdiepad,1,1814 ZK,Alkmaar,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-11 00:00:00,2019-02-25 00:00:00,True,2019-02-21 00:00:00,2019-06-04 00:00:00,2019-06-04 00:00:00,PP002011,,2019-06-04 00:00:00
22,LV-44,False,,False,2020-10-22 09:06:27.400000,,2018-12-18 10:25:54.160000,2019-03-15 11:43:44.903000,2019-03-26 09:56:47.849000,2019-03-26 10:52:07.447000,2019-03-28 11:33:17.868000,2019-04-10 06:47:31.404000,2019-06-20 13:37:45.711000,2019-06-25 08:13:07.052000,2019-07-31 12:56:11.662000,2019-10-03 13:18:21.916000,2019-09-12 14:44:16.983000,2019-10-17 14:51:11.612000,2019-11-13 12:34:00.239000,3,Gemeente Almere,165,Almere,ALMERE00125,5.28173307045223,52.3562312164389,Paul Diracstraat,10,1341 BV,Almere,False,<nil>,naast woning  Paul Diracstraat nr 10,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-03-19 00:00:00,2019-05-03 00:00:00,False,2019-04-09 00:00:00,2019-09-12 00:00:00,2019-09-12 00:00:00,PP002179,,2019-09-12 00:00:00
23,LV-45,False,,False,2020-10-22 09:06:27.400000,,2018-12-18 13:27:56.335000,2018-12-18 13:29:28.150000,2018-12-31 11:13:10.708000,2019-01-02 08:05:46.973000,2019-03-05 13:11:29.399000,2019-03-05 13:11:30.584000,2019-03-05 13:11:32.858000,2019-03-05 13:11:34.434000,2019-09-11 06:55:19.059000,2019-10-22 10:53:46.628000,2019-09-25 14:02:43.947000,2020-01-21 15:01:53.637000,2019-12-09 14:23:02.134000,79,Gemeente Zeist,298,Zeist,ZEIST00033,5.24397842886551,52.0961146891834,Bergweg,100,3707 AE,Zeist,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-17 00:00:00,2019-02-28 00:00:00,False,2019-02-07 00:00:00,2019-09-25 00:00:00,2019-09-25 00:00:00,PP001820,,2019-09-25 00:00:00
24,LV-47,False,Deze locatie wordt binnenkort opnieuw ingericht. Graag even wachten tot dit is afgerond en een goede plek voor de paal gekozen kan worden.,True,2022-02-10 11:44:44.782000,,2018-12-18 16:27:02.781000,2020-05-29 09:22:16.262000,2020-06-02 06:23:46.794000,2020-06-02 08:07:39.912000,2021-04-02 07:59:50.293000,2021-04-07 07:13:41.394000,2021-05-28 09:50:37.468000,2021-05-31 07:42:03.637000,2021-07-08 06:53:51.596000,2021-10-14 12:02:22.015000,2021-07-14 07:02:16.942000,2021-07-14 07:06:46.605000,2022-02-10 11:44:44.782000,16,Gemeente De Bilt,269,De Bilt,DEBILT00017,5.1836353211636,52.1172018746149,Zonneplein,1,3721 VA,Bilthoven,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2021-04-07 00:00:00,2021-05-19 00:00:00,False,2021-04-07 00:00:00,2021-07-13 00:00:00,2021-07-14 00:00:00,TNLP006385,,2021-07-14 00:00:00
25,LV-49,False,,False,2020-10-22 09:06:27.400000,,2018-12-20 10:16:56.771000,2019-02-05 07:13:04.027000,2019-02-11 15:55:15.593000,2019-02-12 13:30:48.572000,2019-05-02 11:24:58.823000,2019-05-07 14:04:39.475000,2019-06-14 09:39:48.075000,2019-06-17 11:10:55.057000,2019-06-24 12:34:45.459000,2019-06-25 06:53:48.656000,2019-07-12 14:00:15.633000,2019-08-14 09:22:47.274000,2019-07-15 09:04:56.267000,36,Gemeente Huizen,341,Huizen,HUIZEN00011,5.25651244832202,52.3039661597652,Schipbeek,1,1273 MJ,Huizen,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-05-02 00:00:00,2019-06-13 00:00:00,True,2019-05-07 00:00:00,2019-07-10 00:00:00,2019-07-12 00:00:00,PP002058,,2019-07-12 00:00:00
26,LV-51,False,,False,2020-10-22 09:06:27.400000,,2018-12-24 14:46:25.688000,2018-12-24 14:48:04.261000,2019-01-14 12:09:22.295000,2019-01-15 08:40:29.587000,2019-03-19 13:11:45.577000,2019-03-21 12:48:42.776000,2019-05-09 08:47:17.628000,2019-05-13 12:48:54.931000,2019-05-22 06:42:02.715000,2019-06-11 14:21:56.946000,2019-06-07 15:36:51.276000,2019-08-14 09:24:29.292000,2019-07-10 08:12:56.717000,2,Gemeente Alkmaar,311,Alkmaar,ALKMAAR00049,4.73799978,52.63154622,Nassaulaan,49,1815 GJ,Alkmaar,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-03-20 00:00:00,2019-05-03 00:00:00,False,2019-03-20 00:00:00,2019-06-07 00:00:00,2019-06-07 00:00:00,PP001955,,2019-06-07 00:00:00
27,LV-53,False,,False,2020-10-22 09:06:27.400000,,2019-01-02 09:50:26.061000,2019-01-09 13:21:59.912000,2019-01-09 13:22:37.774000,2019-01-10 16:03:37.099000,2019-03-15 07:16:10.943000,2019-03-21 14:36:38.198000,2019-04-09 07:20:35.292000,2019-04-09 07:30:14.888000,2019-06-28 11:55:23.545000,2019-07-15 12:45:55.790000,2019-07-25 07:11:49.590000,2019-08-14 09:26:18.133000,2019-08-30 11:40:58.854000,25,Gemeente Gooise Meren,307,Gooise Meren,GOOISEMEREN00053,5.15328974686266,52.2698154255824,Beerensteinerlaan,59,1406 NR,Bussum,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-02-13 00:00:00,2019-03-27 00:00:00,False,2019-03-20 00:00:00,2019-07-22 00:00:00,2019-07-24 00:00:00,PP002064,,2019-07-24 00:00:00
